schemeCode,schemeName,isinGrowth,isinDivReinvestment
111865,IDFC Imperial Equity Fund-Plan B - Growth,,
111866,IDFC Imperial Equity Fund-Plan B - Dividend,,
111867,IDFC Strategic Sector (50-50) Equity Fund-Plan B - GROWTH,,
111868,IDFC Strategic Sector (50-50) Equity Fund-Plan B - Dividend,,
111919,DWS Alpha Equity Fund Wealth Plan -Dividend Option,,
111920,DWS Alpha Equity Fund Wealth Plan - Growth Option,,
111924,Sundaram Equity Hybrid Institutional Dividend,,
111935,Edelweiss Large Cap Fund -Plan B - Growth option,INF754K01087,
111936,Edelweiss Large Cap Fund - Regular Plan - IDCW Option,INF754K01012,INF754K01020
111937,Edelweiss Large Cap Fund -Plan C - Growth option,INF754K01129,
111938,Edelweiss Large Cap Fund - Plan B - IDCW Option,INF754K01053,INF754K01061
111939,Edelweiss Large Cap Fund - Plan C - IDCW Option,INF754K01095,INF754K01103
111940,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,
111941,Sundaram Mid Cap Fund Institutional Plan - Growth,,
111942,Sundaram Mid Cap Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),,
111957,ICICI Prudential Focused Equity Fund - Growth,INF109K01BZ4,
111958,ICICI Prudential Focused Equity Fund - IDCW,INF109K01FM3,INF109K01CA5
111959,ICICI Prudential Focused Equity Fund Institutional Growth,,
112038,Quantum Diversified Equity All Cap Active FOF - Direct Plan IDCW,INF082J01101,INF082J01119
112039,Quantum Diversified Equity All Cap Active FOF - Direct Plan Growth Option,INF082J01093,
112064,Sundaram Small Cap Fund Institutional Plan - Growth,,
112068,IDFC Equity Fund -Plan B- Dividend,,
112069,IDFC Equity Fund -Plan B-Growth,,
112084,JPMorgan Greater China Equity Off-shore Fund - Regular Plan - Growth Option,,
112113,Aditya Birla Sun Life Frontline Equity Fund-Plan B (Dividend),,
112114,Aditya Birla Sun Life Frontline Equity Fund-Plan B (Growth),,
112126,DSP Global Clean Energy Overseas Equity Omni FoF - Regular Plan - Growth,INF740K01284,
112127,DSP Global Clean Energy Overseas Equity Omni FoF - Regular Plan - IDCW,INF740K01292,INF740K01300
112171,Invesco India PSU Equity Fund - Regular Plan - Growth,INF205K01338,
112173,Invesco India PSU Equity Fund - Regular Plan - IDCW (Payout / Reinvestment),INF205K01353,INF205K01346
112207,Sundaram Small Cap Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),,
112277,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,
112278,Axis Large Cap Fund - Regular Plan - IDCW,INF846K01172,INF846K01180
112293,DSP World Mining Overseas Equity Omni FoF - Regular Plan - Growth,INF740K01730,
112322,Axis ELSS Tax Saver Fund - Regular Plan - IDCW,INF846K01149,INF846K01156
112323,Axis ELSS Tax Saver Fund - Regular Plan - Growth,INF846K01131,
112347,DSP World Mining Overseas Equity Omni FoF - Regular Plan - IDCW,INF740K01748,INF740K01AL8
112387,Edelweiss Equity Savings Advantage Fund - Growth Option,,
112402,Edelweiss Equity Savings Advantage Fund - Dividend Option,,
112495,L&T Mid Cap Fund-Regular Plan-IDCW,,
112496,L&T Mid Cap Fund-Regular Plan-Growth,,
112586,L&T Hedged Equity Fund - Dividend,,
112587,L&T Hedged Equity Fund - Cumulative,,
112606,L&T Small Cap Fund -Dividend Option,,
112607,L&T Small Cap Fund-Cumulative Option,,
112943,Baroda Large cap Fund - Plan A - Growth Option,,
112944,Baroda Large cap Fund - Plan A - IDCW Option,,
113153,DSP Small Cap Fund - Regular - IDCW,INF740K01805,INF740K01AM6
113177,Nippon India Small Cap Fund - Growth Plan - Growth Option,INF204K01HY3,
113178,Nippon India Small Cap Fund - Growth Plan - Bonus Option,INF204K01HZ0,
113179,NIPPON INDIA SMALL CAP FUND - IDCW Option,INF204K01IA1,INF204K01IB9
113221,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,
113222,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),INF760K01AS1,INF760K01AT9
113394,JPMorgan EEMEA Equity Off-shore Fund - Regular Plan - Growth Option,,
113463,BNP Paribas Long Term Equity Fund - Growth Option,,
113464,BNP Paribas Long Term Equity Fund-Income Distribution cum Capital Withdrawal Option,,
113544,BNP PARIBAS LARGE CAP Fund-Growth Option,,
113545,BNP PARIBAS LARGE CAP Fund-Income Distribution cum Capital Withdrawal Option,,
113566,BNP Paribas Mid Cap Fund-Growth Option,,
113567,BNP Paribas Mid Cap Fund-Income Distribution cum Capital Withdrawal Option,,
114307,DHFL Pramerica Large Cap Equity Fund - Growth Option,,
114308,DHFL Pramerica Large Cap Equity Fund - Dividend Option,,
114457,Kotak Large Cap Fund - Payout of Income Distribution cumcapital withdrawal option,INF174K01179,INF174K01161
114458,Kotak Large Cap Fund - Growth,INF174K01153,
114630,IDBI Equity Savings Fund IDCW Option,,
114791,Principal Retail Equity Savings Fund - Dividend Option,,
114965,DWS ALPHA EQUITY FUND - BONUS OPTION,,
114982,IDBI Equity Savings Fund Growth Option,,
114983,IDBI Equity Savings Fund Quarterly IDCW Option,,
115270,Union Flexi Cap Fund - Growth Option,INF582M01104,
115290,Union Flexi Cap Fund - IDCW Option,INF582M01120,INF582M01112
115293,JPMorgan ASEAN Equity Off-shore Fund - Regular Plan - Growth Option,,
115745,Goldman Sachs Equity & Derivatives Opportunities Fund - Growth Option,,
115746,Goldman Sachs Equity & Derivatives Opportunities Fund - Dividend Option,,
115788,Navi Large Cap Equity Fund - Normal IDCW Payout,,
115790,Navi Large Cap Equity Fund - Growth Option,,
115883,L&T Equity Savings Fund - Regular Plan - Monthly IDCW,,
115886,L&T Equity Savings Fund - Regular Plan - Quarterly IDCW,,
115887,L&T Equity Savings Fund - Regular Plan - Growth,,
116051,Union ELSS Tax Saver Fund - Growth Option,INF582M01302,
116052,Union ELSS Tax Saver Fund - IDCW Option,INF582M01328,INF582M01310
116548,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),INF666M01188,INF666M01170
116632,Franklin U.S. Opportunities Equity Active Fund of Funds - IDCW,INF090I01EV3,INF090I01EU5
116633,Franklin U.S. Opportunities Equity Active Fund of Funds - Growth,INF090I01EW1,
117310,IDBI India Top 100 Equity Fund IDCW,,
117311,IDBI India Top 100 Equity Fund Growth,,
117619,ICICI Prudential US Bluechip Equity Fund - IDCW,INF109K01E43,INF109K01E50
117620,ICICI Prudential US Bluechip Equity Fund - Growth,INF109K01E35,
117691,DSP US Specific Equity Omni FoF - Regular Plan - Growth Option,INF740K01LP6,
117692,DSP US Specific Equity Omni FoF - Regular Plan - IDCW,INF740K01LQ4,INF740K01LR2
117992,Goldman Sachs India Equity Fund - Dividend Plan,,
117993,Goldman Sachs India Equity Fund - Growth Plan,,
118069,L&T India Large Cap Fund - Regular Plan - Growth,,
118070,L&T India Large Cap Fund - Regular Plan - IDCW,,
118191,L&T Hybrid Equity Fund- Regular Plan - Growth,,
118192,L&T Hybrid Equity Fund- Regular Plan - IDCW,,
118269,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,INF760K01FR2,
118270,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),INF760K01FP6,INF760K01FQ4
118271,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),INF760K01EX3,INF760K01EY1
118272,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,INF760K01EZ8,
118277,CANARA ROBECO LARGE AND MID CAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),INF760K01EG8,INF760K01EH6
118278,CANARA ROBECO LARGE AND MID CAP FUND - DIRECT PLAN - GROWTH OPTION,INF760K01EI4,
118285,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,INF760K01EL8,
118286,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - IDCW (Payout),INF760K01EJ2,INF760K01EK0
118344,IDBI India Top 100 Equity Fund Growth Direct,,
118419,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,INF194K01V89,
118420,Bandhan Large & Mid Cap Fund - Direct Plan - IDCW,INF194K01V97,INF194K01W05
118423,BANDHAN Flexi Cap Fund-Direct Plan-IDCW,INF194K01W70,INF194K01W88
118424,BANDHAN Flexi Cap Fund-Direct Plan-Growth,INF194K01W62,
118448,IDBI India Top 100 Equity Fund IDCW Direct,,
118452,IDBI Equity Savings Fund Growth Option Direct,,
118453,IDBI Equity Savings Fund IDCW Option Direct,,
118454,IDBI Equity Savings Fund Option Direct,,
118462,Franklin India Large Cap Fund - Direct - IDCW,INF090I01FO5,INF090I01FP2
118472,BANDHAN ELSS Tax Saver Fund - Direct Plan - IDCW,INF194K01Y37,INF194K01Y45
118473,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,INF194K01Y29,
118476,BANDHAN Equity Savings Fund-Direct Plan-Monthly IDCW,INF194K01Z10,INF194K01Z28
118477,BANDHAN Equity Savings Fund-Direct Plan-Growth,INF194K01Z02,
118478,BANDHAN Large Cap Fund-Direct Plan-IDCW,INF194K01Z51,INF194K01Z69
118479,BANDHAN Large Cap Fund-Direct Plan-Growth,INF194K01Z44,
118509,Franklin India Large & Mid cap Fund - Direct - IDCW,INF090I01IL5,INF090I01IM3
118510,Franklin India Large & Mid Cap Fund - Direct - Growth,INF090I01IN1,
118524,Franklin India Small Cap Fund - Direct - IDCW,INF090I01IO9,INF090I01IP6
118525,Franklin India Small Cap Fund - Direct - Growth,INF090I01IQ4,
118531,Franklin India Large Cap Fund- Direct - Growth,INF090I01FN7,
118532,Franklin India Mid Cap Fund - Direct - IDCW,INF090I01FI7,INF090I01FJ5
118533,Franklin India Mid Cap Fund - Direct - Growth,INF090I01FH9,
118534,Franklin India Flexi Cap Fund - Direct - IDCW ,INF090I01FL1,INF090I01FM9
118535,Franklin India Flexi Cap Fund - Direct - Growth,INF090I01FK3,
118540,Franklin India ELSS Tax Saver Fund - Direct - Growth,INF090I01JS8,
118541,Franklin India ELSS Tax Saver Fund - Direct - IDCW,INF090I01JT6,INF090I01JU4
118550,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - IDCW,INF090I01JP4,INF090I01JQ2
118551,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - Growth,INF090I01JR0,
118558,Franklin Asian Equity Fund - Direct - IDCW ,INF090I01IX0,INF090I01IY8
118559,Franklin Asian Equity Fund - Direct - Growth,INF090I01IZ5,
118563,Franklin India Focused Equity Fund - Direct - IDCW ,INF090I01IU6,INF090I01IV4
118564,Franklin India Focused Equity Fund - Direct - Growth,INF090I01IW2,
118600,Goldman Sachs India Equity Fund - Direct Plan -Dividend Option,,
118601,Goldman Sachs India Equity Fund - Direct Plan -Growth Option,,
118616,Edelweiss Large Cap Fund - Direct Plan - IDCW Option,INF754K01BT0,INF754K01BU8
118617,Edelweiss Large Cap Fund - Direct Plan-Growth option,INF754K01BW4,
118619,Edelweiss ELSS Tax Saver Fund - Direct Plan - IDCW Option,INF754K01BX2,INF754K01BY0
118620,Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option,INF754K01CA8,
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01XI3,
118633,Nippon India Large Cap Fund - Direct Plan Growth Plan - Bonus Option,INF204K01D30,
118634,NIPPON INDIA LARGE CAP FUND - DIRECT Plan - IDCW Option,INF204K01XG7,INF204K01XH5
118638,Edelweiss Equity Savings Advantage Fund- Direct Plan- Growth Option,,
118639,Edelweiss Equity Savings Advantage Fund - Direct Plan- Dividend Option,,
118640,Reliance Focused Large Cap Fund - Direct Plan Dividend Plan,,
118641,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Bonus Option,,
118643,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Growth Option,,
118665,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,INF204K01E21,
118666,NIPPON INDIA GROWTH MID CAP FUND - DIRECT Plan - IDCW Option,INF204K01E39,INF204K01E47
118668,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01E54,
118675,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,INF204K01E96,
118676,NIPPON INDIA VISION LARGE & MID CAP  FUND - DIRECT Plan - IDCW Option,INF204K01F04,INF204K01F12
118678,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01F20,
118775,NIPPON INDIA SMALL CAP FUND - Direct Plan - IDCW Option,INF204K01J91,INF204K01K07
118777,Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,INF204K01J83,
118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01K15,
118801,NIPPON INDIA ELSS TAX SAVER FUND - DIRECT Plan - IDCW Option,INF204K01L30,INF204K01L48
118803,Nippon India ELSS Tax Saver Fund - Direct Plan Growth Plan - Growth Option,INF204K01L55,
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,
118826,Mirae Asset Large Cap Fund Direct IDCW,INF769K01AY0,INF769K01AZ7
118866,Taurus ELSS Tax Saver Fund - Direct Plan - Growth,INF044D01CG6,INF044D01AA3
118867,Taurus ELSS Tax Saver Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,INF044D01CH4,INF044D01CI2
118870,Taurus Large Cap Fund - Direct Plan - Growth,INF044D01BX3,
118871,Taurus Large Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,INF044D01BY1,INF044D01BZ8
118872,Taurus Mid Cap Fund - Direct Plan - Growth,INF044D01CA9,
118873,Taurus Mid Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,INF044D01CB7,INF044D01CC5
118883,Taurus Flexi Cap Fund - Direct Plan - Growth,INF044D01BU9,
118884,Taurus Flexi Cap Fund - Direct Plan -  Payout of Income Distribution cum Capital Withdrawal option,INF044D01BV7,INF044D01BW5
118936,DWS Alpha Equity Fund - Direct Plan - Growth,,
118937,DWS Alpha Equity Fund - Direct Plan - Dividend,,
118938,DWS Alpha Equity Fund - Direct Plan - Bonus,,
118954,HDFC Flexi Cap Fund - IDCW Option - Direct Plan,INF179K01VL5,INF179K01VM3
118955,HDFC Flexi Cap Fund - Growth Option - Direct Plan,INF179K01UT0,
118964,DWS Equity Income Fund - Direct Plan - Annual Dividend,,
118965,DWS Equity Income Fund - Direct Plan - Growth,,
118966,DWS Equity Income Fund - Direct Plan - Monthly Dividend,,
118967,DWS Equity Income Fund - Direct Plan - Quarterly Dividend,,
118988,HDFC Mid Cap Fund - IDCW Option - Direct Plan,INF179K01XO5,INF179K01XP2
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,INF179K01XQ0,
119017,HDFC Large Cap Fund - IDCW Option - Direct Plan,INF179K01YT2,INF179K01YU0
119018,HDFC Large Cap Fund - Growth Option - Direct Plan,INF179K01YV8,
119059,HDFC ELSS Tax saver - IDCW Option - Direct Plan,INF179K01YQ8,INF179K01YR6
119060,HDFC ELSS Tax saver - Growth Option - Direct Plan,INF179K01YS4,
119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,INF179K01XX6,INF179K01XY4
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,INF179K01XZ1,
119076,DSP Flexi Cap Fund - Direct Plan - Growth,INF740K01PI2,
119077,DSP Flexi Cap Fund - Direct Plan - IDCW,INF740K01PJ0,INF740K01PK8
119128,HDFC Equity Savings Fund - Growth Option - Direct Plan,INF179K01XT4,
119129,HDFC Equity Savings Fund - IDCW Option - Direct Plan,INF179K01XR8,INF179K01XS6
119134,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),INF666M01626,INF666M01618
119148,Navi Large Cap Equity Fund-Direct Plan-Growth Option,,
119149,Navi Large Cap Equity Fund - Direct Plan Normal IDCW Payout,,
119159,Tata Large Cap Fund- Direct Plan - Payout of IDCW Option,INF277K01QX2,INF277K01QY0
119160,Tata Large Cap Fund -Direct Plan Growth Option,INF277K01QZ7,
119177,Tata Mid Cap Fund - Direct Plan- IDCW Option,INF277K01PW6,INF277K01PX4
119178,Tata Mid Cap Fund - Direct Plan- Growth Option,INF277K01PY2,
119182,Tata Mid Cap Growth Fund - Direct Plan Bonus(Growth),,
119189,Tata Equity Management Fund - Direct Plan Growth,,
119190,Tata Equity Management Fund - Direct Plan Dividend,,
119201,Tata Large & Mid Cap Fund Direct Plan - Payout of IDCW Option,INF277K01MI2,INF277K01MJ0
119202,Tata Large & MId Cap Fund -Direct Plan- Growth Option,INF277K01MK8,
119212,DSP Small Cap Fund - Direct Plan - Growth,INF740K01QD1,
119213,DSP Small Cap Fund - Direct Plan - IDCW,INF740K01QE9,INF740K01QF6
119218,DSP Large & Mid Cap Fund - Direct Plan - Growth,INF740K01PL6,
119219,DSP Large & Mid Cap Fund - Direct Plan - IDCW,INF740K01PM4,INF740K01PN2
119241,DSP ELSS Tax Saver Fund - Direct Plan - IDCW,INF740K01OL9,INF740K01OM7
119242,DSP ELSS Tax Saver Fund - Direct Plan - Growth,INF740K01OK1,
119249,DSP Large Cap Fund - Direct Plan - IDCW,INF740K01PS1,INF740K01PT9
119250,DSP Large Cap Fund - Direct Plan - Growth,INF740K01PR3,
119252,DSP US Specific Equity Omni FoF - Direct Plan - Growth,INF740K01OH7,
119253,DSP US Specific Equity Omni FoF - Direct Plan - IDCW,INF740K01OI5,INF740K01OJ3
119275,DSP Global Clean Energy Overseas Equity Omni FoF Direct Plan - Growth,INF740K01PC5,
119276,DSP Global Clean Energy Overseas Equity Omni FoF - Direct Plan - IDCW,INF740K01PD3,INF740K01PE1
119277,DSP World Gold Mining Overseas Equity Omni FoF - Direct Plan - Growth,INF740K01OZ9,
119278,DSP World Gold Mining Overseas Equity Omni FoF - Direct Plan - IDCW,INF740K01PA9,INF740K01PB7
119279,DSP World Mining Overseas Equity Omni FoF - Direct Plan - Growth,INF740K01PF8,
119280,DSP World Mining Overseas Equity Omni FoF - Direct Plan - IDCW,INF740K01PG6,INF740K01PH4
119281,Tata ELSS Fund- Direct Plan - Payout of IDCW Option,INF277K01I94,
119292,Union Flexi Cap Fund - Direct Plan - Growth Option,INF582M01633,
119293,Union Flexi Cap Fund - Direct Plan - IDCW Option,INF582M01658,INF582M01641
119300,BANK OF INDIA Large & Mid Cap Fund Direct Plan- Bonus,INF761K01629,
119306,Union ELSS Tax Saver Fund - Direct Plan - IDCW Option,INF582M01781,INF582M01773
119307,Union ELSS Tax Saver Fund - Direct Plan - Growth Option,INF582M01765,
119308,L&T India Large Cap Fund - Direct Plan - Growth,,
119314,L&T India Large Cap Fund - Direct Plan- IDCW,,
119325,BARODA HYBRID EQUITY FUND - Plan B (Direct) - IDCW Option,,
119326,BARODA HYBRID EQUITY FUND - Plan B (Direct) - Growth Option,,
119331,PineBridge India Equity Fund- Direct Plan- Growth Option,,
119332,PineBridge India Equity Fund- Direct Plan- Dividend Option,,
119339,BARODA ELSS 96 - Plan B (Direct) - IDCW,,
119346,BANK OF INDIA Large & Mid Cap Fund Direct Plan-Regular IDCW,INF761K01645,INF761K01637
119347,L&T Hybrid Equity Fund - Direct Plan-Growth,,
119348,L&T Hybrid Equity Fund - Direct Plan -IDCW,,
119349,BANK OF INDIA Large & Mid Cap Fund Direct  Plan- Quarterly IDCW,INF761K01678,INF761K01660
119350,BANK OF INDIA Large & Mid Cap Fund Direct Plan-Growth,INF761K01652,
119351,BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,INF761K01884,
119352,BANK OF INDIA ELSS Tax Saver -Direct Plan-IDCW,INF761K01876,INF761K01868
119366,Baroda Large cap Fund - Plan B (Direct) - IDCW Option,,
119367,Baroda Large cap Fund - Plan B (Direct) - Growth Option,,
119433,Aditya Birla Sun Life Large & Mid Cap Fund -Direct - IDCW,INF209K01VG0,INF209K01VI6
119434,Principal Retail Equity Savings Fund - Direct Plan - Growth Option,,
119435,Principal Retail Equity Savings Fund - Direct Plan - Dividend Option,,
119436,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,INF209K01VH8,
119440,Principal Emerging Bluechip Fund - Direct Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option,,
119441,Principal Emerging Bluechip Fund - Direct Plan - Growth Option,,
119470,Principal Equity Savings Fund - Direct Plan - Income Distribution CUM Capital Withdrawal Option - Half Yearly,,
119471,Principal Equity Savings Fund- Direct Plan - Income Distribution CUM Capital Withdrawal Option - Quaterly,,
119472,Principal Equity Savings Fund - Direct Plan - Growth Option,,
119484,Principal Hybrid Equity Fund- Direct Plan - Growth Option,,
119485,Principal Hybrid Equity Fund-Direct Plan - Monthly Income Distribution CUM Capital Withdrawal Option,,
119516,Aditya Birla Sun Life International Equity Fund - Direct - IDCW,INF209K01Q89,INF209K01WT1
119517,Aditya Birla Sun Life International Equity Fund - Growth - Direct Plan,INF209K01WS3,
119518,Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Direct Plan,,
119519,Aditya Birla Sun Life International Equity Fund - Plan B - Direct - IDCW,,
119527,Aditya Birla Sun Life Large Cap Fund-DIRECT - IDCW,INF209K01YX9,INF209K01YW1
119528,Aditya Birla Sun Life Large Cap Fund - Growth - Direct Plan,INF209K01YY7,
119542,Sundaram Equity Hybrid Fund Direct Plan - Growth,,
119543,Aditya Birla Sun Life ELSS Tax Saver Fund-DIRECT - IDCW,INF209K01P23,INF209K01UM0
119544,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,INF209K01UN8,
119545,Sundaram Equity Hybrid Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),,
119556,Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan,INF209K01WN4,
119557,Aditya Birla Sun Life Small Cap Fund -Direct - IDCW,INF209K01WM6,
119581,Sundaram Mid Cap Fund Direct Plan - Growth,INF903J01MJ3,
119582,Sundaram Mid Cap Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),INF903J01MH7,INF903J01MI5
119585,SBI Large Cap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01QV8,INF200K01QW6
119588,Sundaram Small Cap Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),INF903J01NI3,INF903J01NJ1
119589,Sundaram Small Cap Fund Direct Plan - Growth,INF903J01NK9,
119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,INF200K01QX4,
119601,Sundaram Global Brand Theme-Equity Active FOF - Direct IDCW,INF903J01NZ7,INF903J01OA8
119602,Sundaram Global Brand Theme-Equity Active FOF - Direct Growth,INF903J01OB6,
119604,SBI Equity Hybrid Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01RW4,INF200K01RX2
119609,SBI EQUITY HYBRID FUND - DIRECT PLAN - Growth,INF200K01RY0,
119722,SBI ELSS Tax Saver Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01UK3,
119723,SBI ELSS Tax Saver FUND - DIRECT PLAN -GROWTH,INF200K01UM9,
119772,Kotak ELSS Tax Saver Fund-Payout of Income Distribution cum capital withdrawal option - Direct,INF174K01LJ1,
119773,Kotak ELSS Tax Saver Fund-Growth - Direct,INF174K01LI3,
119778,Kotak Global Emerging Market Overseas Equity Omni FOF - Payout of Income Distribution cum capital withdrawal option - Direct,INF174K01LX2,INF174K01LY0
119779,Kotak Global Emerging Market overseas Equity Omni FOF - Growth - Direct,INF174K01LW4,
119801,L&T Equity Savings Fund- Direct Plan-Quarterly IDCW,,
119802,L&T Equity Savings Fund - Direct Plan-Growth,,
119803,L&T Equity Savings Fund - Direct Plan-Monthly IDCW,,
119806,L&T Mid Cap Fund-Direct Plan -IDCW,,
119807,L&T Mid Cap Fund-Direct Plan-Growth,,
119866,JPMorgan India Equity Fund - Direct Plan - Dividend Option,,
119867,JPMorgan India Equity Fund - Direct Plan - Growth Option,,
119868,JPMorgan India Mid and Small Cap Fund - Direct Plan - Dividend Option,,
119869,JPMorgan India Mid and Small Cap Fund - Direct Plan - Growth Option,,
119872,JPMorgan Greater China Equity Off-shore Fund - Direct Plan - Growth Option,,
119874,JPMorgan EEMEA Equity Off-shore Fund - Direct Plan - Growth Option,,
119878,JPMorgan ASEAN Equity Off-shore Fund - Direct Plan - Growth Option,,
119886,ING Core Equity Fund - Direct Plan - Growth Option,,
119887,ING Core Equity Fund - Direct Plan - Dividend Option,,
119893,BNP Paribas LARGE CAP Fund - Direct Plan - Growth Option,,
119894,BNP Paribas LARGE CAP Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option,,
119914,ING Large Cap Equity Fund - Direct Plan - Growth Option,,
119915,ING Large Cap Equity Fund - Direct Plan - Dividend Option,,
119958,Tata Equity Savings Fund-Direct Plan - Monthly Payout of IDCW Option,INF277K01QI3,INF277K01QJ1
119959,Tata Equity Savings Fund-Direct Plan - Periodic Payout of IDCWS Option,INF277K01QK9,INF277K01QL7
119960,Tata Equity Savings Fund- Direct Plan- Growth Option,INF277K01QH5,
120001,BNP Paribas Mid Cap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option,,
120002,BNP Paribas Mid Cap Fund - Direct Plan - Growth Option,,
120003,ING Income Growth Multi Manager FoF Scheme - 15% Equity Plan -  Direct Plan - Option A - Growth Option,,
120004,ING Income Growth Multi Manager FoF Scheme - 15% Equity Plan - Direct Plan - Option A- Dividend Option,,
120015,ING Multi Manager Equity Fund - Direct Plan - Option A Dividend Option,,
120016,ING Multi Manager Equity Fund - Direct Plan - Option A -  Growth  Option,,
120019,ING Latin America Equity Fund - Direct Plan - Growth Option,,
120020,ING Latin America Equity Fund - Direct Plan - Dividend Option,,
120029,HSBC Large Cap Fund - Direct IDCW,INF336L01CK1,INF336L01CL9
120030,HSBC Large Cap Fund - Direct Growth,INF336L01CM7,
120031,ING Income Growth Multi Manager FoF Scheme - 30% Equity Plan - Direct Plan - Option A - Dividend Option,,
120032,ING Income Growth Multi Manager FoF Scheme - 30% Equity Plan -Direct Plan - Option A -  Growth Option,,
120033,HSBC Infrastructure Equity Fund - IDCW Direct Plan,,
120034,HSBC Infrastructure Equity Fund - Growth Direct,,
120045,HSBC Flexi Cap Fund - Direct IDCW,INF336L01DF9,INF336L01DG7
120046,HSBC Flexi Cap Fund - Direct Growth,INF336L01DH5,
120068,HSBC Small Cap Equity Fund - IDCW Direct Plan,,
120069,HSBC Small Cap Equity Fund - Growth Direct,,
120076,HSBC - Small Cap Fund - Dividend Direct,,
120077,HSBC - Small Cap Fund - Growth Direct,,
120078,HSBC Tax Saver Equity Fund - IDCW Direct Plan,INF336L01ER2,
120079,HSBC Tax Saver Equity Fund - Growth Direct,INF336L01EE0,
120080,HSBC Dividend Yield Equity Fund-Dividend Direct,,
120081,HSBC Dividend Yield Equity Fund-Growth Direct,,
120099,DHFL Pramerica Large Cap Equity Fund - Direct Plan-Dividend Option,,
120100,DHFL Pramerica Large Cap Equity Fund - Direct Plan-Growth Option,,
120146,BNP Paribas Long Term Equity Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option,,
120147,BNP Paribas Long Term Equity Fund - Direct Plan - Growth Option,,
120152,Kotak Large Cap  Fund - Growth - Direct,INF174K01KW6,
120153,Kotak Large Cap Fund - Payout of Income Distribution cum capital withdrawal option - Direct,INF174K01KY2,INF174K01KX4
120163,Kotak-Small Cap Fund - Payout of Income Distribution cum capital withdrawal option - Direct,INF174K01KU0,INF174K01KV8
